After running magCalSliders.py

bias = [280, -5, -120]
scale = [1.0, 1.0, 1.0]

MPU set up:
	Accelerometer: 0x0 16384.0
	Gyroscope: 0x0 131.0

MAG set up:
	Magnetometer: 0x16 1.499

Magnetometer calibration. Wave and rotate device in a figure eight until notified.

89,-113,-117
86,-96,-120
87,-109,-123
97,-103,-127
82,-104,-122
91,-111,-125
93,-105,-119
86,-110,-122
88,-102,-122
90,-106,-116
86,-110,-134
87,-103,-117
92,-102,-124
84,-102,-124
86,-104,-124
84,-98,-126
86,-98,-128
85,-111,-127
85,-99,-123
91,-103,-129
88,-112,-120
87,-93,-125
85,-99,-125
87,-107,-125
86,-104,-124
90,-98,-128
90,-104,-126
88,-106,-122
84,-96,-128
81,-109,-125
94,-106,-118
95,-109,-127
88,-106,-128
96,-106,-124
95,-103,-123
90,-106,-128
87,-101,-121
89,-101,-124
87,-105,-125
90,-102,-120
90,-106,-126
91,-108,-118
81,-101,-125
93,-99,-119
91,-103,-119
91,-107,-123
92,-110,-124
85,-107,-119
83,-107,-125
93,-97,-129
84,-100,-118
91,-104,-120
99,-109,-121
87,-99,-125
87,-101,-123
89,-103,-133
86,-98,-122
83,-97,-126
83,-107,-125
93,-105,-127
87,-101,-129
89,-102,-116
78,-94,-118
82,-104,-126
91,-109,-123
93,-103,-127
90,-108,-122
86,-102,-127
91,-105,-129
91,-99,-117
90,-110,-122
88,-102,-122
92,-106,-116
88,-98,-124
93,-103,-127
89,-101,-121
93,-107,-125
92,-100,-126
89,-95,-121
87,-105,-119
87,-99,-119
86,-92,-122
91,-105,-126
86,-104,-130
87,-105,-129
85,-89,-125
94,-108,-126
84,-94,-122
78,-100,-124
92,-106,-132
85,-99,-121
89,-103,-125
82,-96,-122
84,-98,-126
88,-102,-124
86,-110,-116
83,-103,-119
88,-100,-126
100,-108,-126
84,-110,-122
94,-110,-124
86,-102,-120
85,-107,-135
85,-103,-129
90,-104,-126
90,-104,-122
87,-99,-123
85,-103,-127
94,-104,-122
88,-102,-124
80,-104,-120
91,-107,-131
96,-110,-120
92,-98,-130
85,-93,-131
88,-110,-126
85,-105,-127
87,-100,-126
90,-106,-126
95,-111,-125
83,-107,-119
89,-107,-125
88,-112,-126
84,-110,-126
96,-108,-124
98,-108,-124
96,-102,-126
95,-99,-111
84,-106,-120
84,-92,-120
90,-106,-122
86,-98,-122
94,-103,-129
90,-106,-130
81,-101,-121
83,-99,-115
84,-98,-128
85,-105,-123
89,-101,-127
89,-105,-125
91,-107,-133
93,-101,-117
91,-105,-127
92,-100,-119
102,-108,-110
84,-108,-138
93,-99,-137
94,-105,-119
85,-101,-119
79,-101,-125
91,-105,-127
88,-104,-128
94,-106,-120
90,-106,-122
92,-98,-112
88,-108,-124
91,-107,-119
96,-108,-118
102,-110,-122
86,-108,-130
84,-100,-120
91,-101,-125
80,-106,-122
88,-102,-122
86,-106,-118
86,-100,-124
79,-97,-125
86,-106,-116
92,-100,-126
91,-101,-125
89,-95,-127
90,-100,-132
89,-107,-125
91,-97,-125
82,-100,-124
89,-105,-129
93,-109,-109
101,-97,-131
86,-104,-122
88,-100,-132
94,-106,-126
91,-103,-125
91,-103,-123
91,-101,-127
83,-105,-125
88,-114,-128
91,-91,-117
98,-100,-126
88,-108,-126
93,-97,-123
84,-100,-122
92,-100,-128
86,-102,-118
92,-108,-122
85,-103,-121
92,-98,-128
85,-99,-121
87,-107,-121
85,-97,-123
90,-104,-122
88,-104,-116
